id_ticket,fecha,turno,id_plato,cantidad,nombre_plato,categoria
T-14030,2025-09-20,Comida,P-10,4,Solomillo Iberico,Principal
T-11070,2024-09-29,Cena,P-17,2,Brownie con Helado,Postre
T-16833,2024-06-07,Comida,P-06,1,Vino Tinto Copa,Bebida
T-13509,2024-10-27,Cena,P-04,4,Tarta de Queso Casera,Postre
T-17086,2024-03-22,Cena,P-11,3,Salmon a la Plancha,Principal
T-17747,2025-01-28,Comida,P-19,3,Entrecot Ternera,Principal
T-13139,2024-01-23,Comida,P-02,2,Ensalada Cesar,Entrante
T-16932,2024-06-26,Cena,P-16,4,Agua Mineral,Bebida
T-13223,2024-11-01,Cena,P-11,4,Salmon a la Plancha,Principal
T-16746,2024-03-08,Cena,P-17,4,Brownie con Helado,Postre
T-12011,2025-01-30,Cena,P-22,4,Te Verde,Bebida
T-10391,2024-04-13,Cena,P-01,4,Hamburguesa Smart,Principal
T-14906,2025-01-27,Cena,P-17,4,Brownie con Helado,Postre
T-13274,2024-01-28,Cena,P-01,2,Hamburguesa Smart,Principal
T-11790,2024-10-23,Comida,P-02,3,Ensalada Cesar,Entrante
T-12478,2024-08-31,Cena,P-25,1,Canelones de Carne,Principal
T-14774,2024-04-04,Cena,P-11,1,Salmon a la Plancha,Principal
T-15103,2024-09-19,Cena,P-18,3,Ensaladilla Rusa,Entrante
T-12296,2024-02-01,Cena,P-02,4,Ensalada Cesar,Entrante
T-11793,2024-07-05,Cena,P-13,3,Bacalao al Horno,Principal
T-15524,2025-05-30,Cena,P-17,4,Brownie con Helado,Postre
T-12937,2025-05-16,Comida,P-24,4,Nuggets de Pollo,Principal
T-14513,2025-03-02,Cena,P-06,2,Vino Tinto Copa,Bebida
T-17191,2025-01-12,Cena,P-19,1,Entrecot Ternera,Principal
T-14417,2025-06-30,Cena,P-02,3,Ensalada Cesar,Entrante
T-17248,2024-08-15,Cena,P-17,4,Brownie con Helado,Postre
T-11136,2025-02-02,Cena,P-05,2,Refresco Cola,Bebida
T-15665,2025-05-18,Cena,P-17,2,Brownie con Helado,Postre
T-17380,2024-12-24,Cena,P-19,2,Entrecot Ternera,Principal
T-13676,2025-04-21,Cena,P-04,2,Tarta de Queso Casera,Postre
T-10475,2024-05-05,Cena,P-04,1,Tarta de Queso Casera,Postre
T-10632,2025-06-03,Comida,P-18,3,Ensaladilla Rusa,Entrante
T-10589,2025-03-28,Cena,P-06,2,Vino Tinto Copa,Bebida
T-11800,2024-07-24,Cena,P-17,4,Brownie con Helado,Postre
T-16631,2025-11-11,Cena,P-09,3,Gazpacho Andaluz,Entrante
T-13043,2024-08-14,Comida,P-06,3,Vino Tinto Copa,Bebida
T-14758,2025-09-19,Cena,P-20,1,Paella de Marisco,Principal
T-14181,2025-05-03,Cena,P-24,1,Nuggets de Pollo,Principal
T-15902,2024-09-15,Comida,P-08,3,Croquetas de Jamon,Entrante
T-11834,2025-03-29,Cena,P-02,3,Ensalada Cesar,Entrante
T-10376,2024-04-12,Cena,P-09,3,Gazpacho Andaluz,Entrante
T-16480,2025-06-23,Comida,P-12,3,Risotto de Setas,Principal
T-14948,2025-03-05,Cena,P-18,3,Ensaladilla Rusa,Entrante
T-10204,2024-05-22,Cena,P-11,2,Salmon a la Plancha,Principal
T-10268,2024-03-17,Comida,P-12,1,Risotto de Setas,Principal
T-11427,2025-12-08,Cena,P-04,1,Tarta de Queso Casera,Postre
T-11946,2024-07-29,Cena,P-16,4,Agua Mineral,Bebida
T-15891,2024-05-14,Comida,P-04,4,Tarta de Queso Casera,Postre
T-10944,2025-11-29,Comida,P-14,3,Tortilla de Patatas,Entrante
T-16729,2024-03-31,Comida,P-13,2,Bacalao al Horno,Principal
T-17398,2025-12-19,Cena,P-23,1,Tiramisu de la Casa,Postre
T-11790,2025-02-16,Comida,P-24,3,Nuggets de Pollo,Principal
T-13218,2024-12-26,Cena,P-01,4,Hamburguesa Smart,Principal
T-17256,2024-11-30,Comida,P-05,3,Refresco Cola,Bebida
T-14081,2025-10-14,Comida,P-20,3,Paella de Marisco,Principal
T-14496,2025-08-20,Comida,P-15,3,Cerveza Artesana,Bebida
T-11748,2024-01-18,Comida,P-04,3,Tarta de Queso Casera,Postre
T-11254,2024-07-13,Cena,P-05,3,Refresco Cola,Bebida
T-10689,2024-04-11,Comida,P-23,2,Tiramisu de la Casa,Postre
T-16629,2025-05-10,Cena,P-19,4,Entrecot Ternera,Principal
T-14782,2024-04-29,Cena,P-10,2,Solomillo Iberico,Principal
T-12205,2024-03-30,Comida,P-11,4,Salmon a la Plancha,Principal
T-14375,2024-05-30,Comida,P-22,2,Te Verde,Bebida
T-16797,2025-09-19,Cena,P-21,3,Cafe Solo,Bebida
T-14646,2025-01-31,Comida,P-17,3,Brownie con Helado,Postre
T-17604,2024-02-08,Cena,P-20,3,Paella de Marisco,Principal
T-16139,2024-03-15,Comida,P-16,3,Agua Mineral,Bebida
T-17898,2025-07-11,Cena,P-03,4,Pasta Carbonara IA,Principal
T-15169,2025-06-01,Cena,P-13,2,Bacalao al Horno,Principal
T-14263,2024-08-17,Comida,P-03,1,Pasta Carbonara IA,Principal
T-14898,2025-09-26,Cena,P-06,4,Vino Tinto Copa,Bebida
T-12583,2025-10-24,Cena,P-25,1,Canelones de Carne,Principal
T-12175,2025-12-07,Cena,P-01,4,Hamburguesa Smart,Principal
T-11791,2024-11-29,Cena,P-11,1,Salmon a la Plancha,Principal
T-12978,2024-08-30,Cena,P-25,4,Canelones de Carne,Principal
T-15251,2024-08-08,Comida,P-13,1,Bacalao al Horno,Principal
T-15377,2024-09-05,Comida,P-19,3,Entrecot Ternera,Principal
T-16195,2025-02-21,Cena,P-03,2,Pasta Carbonara IA,Principal
T-15553,2024-02-07,Cena,P-02,3,Ensalada Cesar,Entrante
T-12090,2025-06-22,Cena,P-15,1,Cerveza Artesana,Bebida
T-16705,2025-08-28,Comida,P-18,2,Ensaladilla Rusa,Entrante
T-12617,2025-08-04,Comida,P-11,2,Salmon a la Plancha,Principal
T-16980,2024-02-06,Comida,P-11,4,Salmon a la Plancha,Principal
T-16809,2025-04-07,Cena,P-02,1,Ensalada Cesar,Entrante
T-17223,2024-05-07,Comida,P-08,2,Croquetas de Jamon,Entrante
T-15098,2024-04-05,Comida,P-21,4,Cafe Solo,Bebida
T-17191,2024-08-05,Cena,P-22,3,Te Verde,Bebida
T-12084,2024-09-25,Cena,P-24,1,Nuggets de Pollo,Principal
T-12621,2024-04-12,Comida,P-12,2,Risotto de Setas,Principal
T-17033,2024-08-23,Cena,P-24,4,Nuggets de Pollo,Principal
T-14414,2025-07-27,Cena,P-01,3,Hamburguesa Smart,Principal
T-13782,2025-10-13,Cena,P-10,1,Solomillo Iberico,Principal
T-11845,2025-11-10,Comida,P-09,4,Gazpacho Andaluz,Entrante
T-17848,2024-07-09,Cena,P-25,3,Canelones de Carne,Principal
T-10940,2024-01-13,Comida,P-08,3,Croquetas de Jamon,Entrante
T-10823,2024-04-11,Cena,P-11,2,Salmon a la Plancha,Principal
T-10445,2025-03-19,Cena,P-11,1,Salmon a la Plancha,Principal
T-14098,2024-12-07,Comida,P-17,1,Brownie con Helado,Postre
T-11969,2024-11-03,Cena,P-17,1,Brownie con Helado,Postre
T-13179,2024-11-16,Cena,P-24,4,Nuggets de Pollo,Principal
T-11123,2024-10-22,Comida,P-21,2,Cafe Solo,Bebida
T-12837,2024-12-12,Cena,P-22,2,Te Verde,Bebida
T-13835,2025-08-01,Cena,P-18,4,Ensaladilla Rusa,Entrante
T-15874,2024-12-24,Cena,P-21,4,Cafe Solo,Bebida
T-12772,2025-02-01,Cena,P-17,2,Brownie con Helado,Postre
T-17830,2024-02-24,Cena,P-03,2,Pasta Carbonara IA,Principal
T-14806,2024-04-15,Cena,P-23,3,Tiramisu de la Casa,Postre
T-14068,2024-01-23,Comida,P-14,3,Tortilla de Patatas,Entrante
T-17622,2024-03-14,Cena,P-07,2,Pizza Margarita,Principal
T-12878,2024-08-08,Cena,P-10,4,Solomillo Iberico,Principal
T-13660,2025-02-20,Comida,P-19,2,Entrecot Ternera,Principal
T-17842,2025-12-29,Comida,P-22,3,Te Verde,Bebida
T-11542,2025-03-05,Cena,P-04,1,Tarta de Queso Casera,Postre
T-14475,2024-08-31,Cena,P-02,1,Ensalada Cesar,Entrante
T-16275,2025-08-12,Cena,P-11,4,Salmon a la Plancha,Principal
T-14843,2024-04-14,Comida,P-20,3,Paella de Marisco,Principal
T-15797,2025-09-21,Cena,P-02,4,Ensalada Cesar,Entrante
T-16614,2024-02-07,Cena,P-22,3,Te Verde,Bebida
T-16462,2024-01-02,Comida,P-21,3,Cafe Solo,Bebida
T-13591,2025-01-01,Cena,P-04,3,Tarta de Queso Casera,Postre
T-12812,2025-09-10,Cena,P-04,1,Tarta de Queso Casera,Postre
T-13913,2025-07-21,Cena,P-13,4,Bacalao al Horno,Principal
T-13511,2025-10-19,Cena,P-18,1,Ensaladilla Rusa,Entrante
T-13861,2025-03-15,Cena,P-25,4,Canelones de Carne,Principal
T-16687,2025-03-18,Comida,P-03,4,Pasta Carbonara IA,Principal
T-15777,2025-03-27,Cena,P-03,1,Pasta Carbonara IA,Principal
T-16350,2024-02-29,Comida,P-22,2,Te Verde,Bebida
T-15682,2025-04-02,Cena,P-08,1,Croquetas de Jamon,Entrante
T-12422,2024-08-22,Cena,P-06,4,Vino Tinto Copa,Bebida
T-10850,2024-08-29,Comida,P-07,3,Pizza Margarita,Principal
T-10161,2024-11-04,Cena,P-11,4,Salmon a la Plancha,Principal
T-11002,2025-12-08,Cena,P-08,1,Croquetas de Jamon,Entrante
T-17603,2024-07-02,Comida,P-23,4,Tiramisu de la Casa,Postre
T-13428,2024-07-09,Cena,P-01,2,Hamburguesa Smart,Principal
T-14753,2025-05-11,Comida,P-07,2,Pizza Margarita,Principal
T-12320,2024-09-21,Cena,P-11,3,Salmon a la Plancha,Principal
T-16867,2024-05-12,Cena,P-08,1,Croquetas de Jamon,Entrante
T-11210,2024-03-26,Cena,P-21,1,Cafe Solo,Bebida
T-11344,2024-04-19,Comida,P-07,4,Pizza Margarita,Principal
T-12371,2025-08-29,Cena,P-13,3,Bacalao al Horno,Principal
T-11541,2025-10-26,Cena,P-10,1,Solomillo Iberico,Principal
T-10254,2024-06-03,Cena,P-16,3,Agua Mineral,Bebida
T-15398,2025-10-08,Cena,P-23,4,Tiramisu de la Casa,Postre
T-15090,2025-10-11,Comida,P-22,2,Te Verde,Bebida
T-17218,2024-10-14,Cena,P-17,2,Brownie con Helado,Postre
T-14829,2024-08-27,Cena,P-21,2,Cafe Solo,Bebida
T-16280,2025-09-18,Comida,P-13,4,Bacalao al Horno,Principal
T-17979,2025-07-11,Cena,P-14,1,Tortilla de Patatas,Entrante
T-11979,2025-08-07,Cena,P-17,4,Brownie con Helado,Postre
T-14103,2024-08-31,Comida,P-21,2,Cafe Solo,Bebida
T-16347,2024-11-17,Comida,P-24,3,Nuggets de Pollo,Principal
T-11734,2025-08-29,Comida,P-18,1,Ensaladilla Rusa,Entrante
T-15794,2025-06-26,Cena,P-14,2,Tortilla de Patatas,Entrante
T-12235,2024-09-24,Comida,P-02,4,Ensalada Cesar,Entrante
T-17685,2024-07-03,Cena,P-24,3,Nuggets de Pollo,Principal
T-14651,2024-10-31,Comida,P-23,4,Tiramisu de la Casa,Postre
T-14957,2024-11-27,Comida,P-12,4,Risotto de Setas,Principal
T-14643,2025-02-15,Comida,P-20,2,Paella de Marisco,Principal
T-15821,2024-05-13,Comida,P-09,1,Gazpacho Andaluz,Entrante
T-10517,2024-04-22,Cena,P-13,4,Bacalao al Horno,Principal
T-13435,2024-12-31,Cena,P-19,2,Entrecot Ternera,Principal
T-12835,2024-09-08,Cena,P-18,1,Ensaladilla Rusa,Entrante
T-15768,2025-10-24,Comida,P-09,2,Gazpacho Andaluz,Entrante
T-10748,2024-12-24,Comida,P-25,4,Canelones de Carne,Principal
T-12824,2024-02-06,Cena,P-07,3,Pizza Margarita,Principal
T-17188,2025-05-29,Comida,P-05,2,Refresco Cola,Bebida
T-12834,2025-01-24,Comida,P-20,3,Paella de Marisco,Principal
T-10509,2025-08-10,Cena,P-02,4,Ensalada Cesar,Entrante
T-14681,2024-09-24,Cena,P-21,1,Cafe Solo,Bebida
T-10414,2025-03-26,Cena,P-20,2,Paella de Marisco,Principal
T-11883,2025-02-26,Cena,P-19,2,Entrecot Ternera,Principal
T-10287,2024-10-08,Comida,P-04,3,Tarta de Queso Casera,Postre
T-12018,2025-07-11,Cena,P-09,2,Gazpacho Andaluz,Entrante
T-10702,2025-07-03,Comida,P-13,4,Bacalao al Horno,Principal
T-10117,2024-02-02,Comida,P-24,2,Nuggets de Pollo,Principal
T-14314,2025-02-25,Comida,P-06,1,Vino Tinto Copa,Bebida
T-13824,2024-05-27,Comida,P-07,4,Pizza Margarita,Principal
T-12987,2024-06-11,Comida,P-09,3,Gazpacho Andaluz,Entrante
T-10687,2024-12-18,Comida,P-03,4,Pasta Carbonara IA,Principal
T-11791,2025-04-15,Comida,P-24,2,Nuggets de Pollo,Principal
T-17868,2024-10-31,Cena,P-24,3,Nuggets de Pollo,Principal
T-17018,2024-07-24,Cena,P-11,4,Salmon a la Plancha,Principal
T-12126,2024-01-21,Cena,P-13,2,Bacalao al Horno,Principal
T-14619,2025-02-26,Cena,P-24,2,Nuggets de Pollo,Principal
T-14699,2024-06-13,Cena,P-10,3,Solomillo Iberico,Principal
T-16178,2025-07-14,Cena,P-06,4,Vino Tinto Copa,Bebida
T-17046,2024-08-24,Comida,P-15,4,Cerveza Artesana,Bebida
T-11683,2025-10-12,Cena,P-15,4,Cerveza Artesana,Bebida
T-11734,2025-09-07,Comida,P-02,4,Ensalada Cesar,Entrante
T-12940,2025-01-21,Comida,P-07,2,Pizza Margarita,Principal
T-11743,2025-03-07,Cena,P-19,4,Entrecot Ternera,Principal
T-12766,2025-10-17,Cena,P-14,2,Tortilla de Patatas,Entrante
T-10305,2024-07-22,Comida,P-23,1,Tiramisu de la Casa,Postre
T-10150,2025-09-30,Comida,P-11,3,Salmon a la Plancha,Principal
T-12726,2025-09-07,Cena,P-03,2,Pasta Carbonara IA,Principal
T-14796,2024-07-05,Cena,P-25,1,Canelones de Carne,Principal
T-11970,2024-11-18,Cena,P-24,2,Nuggets de Pollo,Principal
T-10919,2025-08-06,Cena,P-17,3,Brownie con Helado,Postre
T-17383,2024-07-19,Cena,P-14,2,Tortilla de Patatas,Entrante
T-11177,2024-12-06,Cena,P-18,3,Ensaladilla Rusa,Entrante
T-11276,2025-10-27,Comida,P-21,1,Cafe Solo,Bebida
T-15571,2025-05-31,Comida,P-01,4,Hamburguesa Smart,Principal
T-14530,2025-07-08,Cena,P-16,1,Agua Mineral,Bebida
T-14104,2024-08-02,Cena,P-14,3,Tortilla de Patatas,Entrante
T-12393,2025-03-29,Cena,P-15,1,Cerveza Artesana,Bebida
T-16815,2024-08-15,Comida,P-04,4,Tarta de Queso Casera,Postre
T-12284,2025-06-28,Comida,P-15,3,Cerveza Artesana,Bebida
T-12776,2025-07-21,Cena,P-22,2,Te Verde,Bebida
T-12751,2024-07-01,Cena,P-03,4,Pasta Carbonara IA,Principal
T-10050,2024-12-29,Comida,P-13,3,Bacalao al Horno,Principal
T-10361,2024-06-13,Cena,P-12,3,Risotto de Setas,Principal
T-16610,2025-06-14,Cena,P-11,4,Salmon a la Plancha,Principal
T-11910,2025-11-24,Comida,P-22,2,Te Verde,Bebida
T-15084,2025-01-15,Cena,P-10,1,Solomillo Iberico,Principal
T-12801,2024-01-27,Cena,P-12,2,Risotto de Setas,Principal
T-14051,2025-05-10,Cena,P-01,4,Hamburguesa Smart,Principal
T-12898,2025-11-18,Comida,P-01,1,Hamburguesa Smart,Principal
T-10302,2024-01-10,Comida,P-17,4,Brownie con Helado,Postre
T-13065,2025-08-22,Comida,P-15,4,Cerveza Artesana,Bebida
T-11527,2025-03-21,Cena,P-09,1,Gazpacho Andaluz,Entrante
T-17040,2025-11-29,Cena,P-23,2,Tiramisu de la Casa,Postre
T-13872,2024-12-23,Comida,P-10,3,Solomillo Iberico,Principal
T-15016,2024-04-22,Cena,P-10,3,Solomillo Iberico,Principal
T-15756,2025-01-03,Cena,P-24,4,Nuggets de Pollo,Principal
T-17721,2025-04-23,Cena,P-19,1,Entrecot Ternera,Principal
T-10679,2024-01-24,Cena,P-19,2,Entrecot Ternera,Principal
T-10988,2025-04-04,Cena,P-16,1,Agua Mineral,Bebida
T-15640,2024-04-08,Cena,P-12,1,Risotto de Setas,Principal
T-11021,2024-04-29,Comida,P-15,2,Cerveza Artesana,Bebida
T-12581,2024-06-25,Cena,P-11,3,Salmon a la Plancha,Principal
T-15679,2025-04-10,Comida,P-20,3,Paella de Marisco,Principal
T-16233,2024-08-30,Cena,P-11,1,Salmon a la Plancha,Principal
T-11514,2024-09-26,Comida,P-10,4,Solomillo Iberico,Principal
T-15739,2024-01-29,Cena,P-03,2,Pasta Carbonara IA,Principal
T-10538,2025-02-01,Cena,P-20,2,Paella de Marisco,Principal
T-14111,2025-04-05,Comida,P-09,4,Gazpacho Andaluz,Entrante
T-15717,2024-01-11,Cena,P-01,2,Hamburguesa Smart,Principal
T-11916,2025-12-05,Comida,P-08,2,Croquetas de Jamon,Entrante
T-12078,2025-11-11,Cena,P-15,1,Cerveza Artesana,Bebida
T-12713,2024-08-18,Cena,P-20,1,Paella de Marisco,Principal
T-15074,2024-02-18,Cena,P-12,2,Risotto de Setas,Principal
T-15766,2025-04-08,Comida,P-24,2,Nuggets de Pollo,Principal
T-17412,2024-10-06,Comida,P-21,2,Cafe Solo,Bebida
T-16680,2024-03-19,Cena,P-03,3,Pasta Carbonara IA,Principal
T-16049,2024-03-16,Cena,P-16,4,Agua Mineral,Bebida
T-13364,2025-01-01,Cena,P-02,4,Ensalada Cesar,Entrante
T-16117,2025-07-30,Comida,P-14,1,Tortilla de Patatas,Entrante
T-15043,2025-03-19,Cena,P-18,1,Ensaladilla Rusa,Entrante
T-12379,2024-11-14,Comida,P-12,1,Risotto de Setas,Principal
T-11205,2024-03-12,Comida,P-12,2,Risotto de Setas,Principal
T-10167,2025-08-16,Comida,P-21,1,Cafe Solo,Bebida
T-14746,2024-01-22,Comida,P-12,1,Risotto de Setas,Principal
T-12144,2025-03-13,Comida,P-23,3,Tiramisu de la Casa,Postre
T-11665,2025-09-29,Cena,P-09,2,Gazpacho Andaluz,Entrante
T-14056,2024-07-05,Cena,P-14,3,Tortilla de Patatas,Entrante
T-17533,2025-12-28,Cena,P-11,2,Salmon a la Plancha,Principal
T-10898,2024-02-15,Cena,P-05,2,Refresco Cola,Bebida
T-14218,2025-12-09,Cena,P-21,2,Cafe Solo,Bebida
T-17831,2024-09-24,Cena,P-10,1,Solomillo Iberico,Principal
T-10134,2024-02-22,Comida,P-13,1,Bacalao al Horno,Principal
T-14187,2024-09-23,Comida,P-20,4,Paella de Marisco,Principal
T-16043,2025-07-30,Comida,P-11,4,Salmon a la Plancha,Principal
T-17899,2025-08-05,Comida,P-23,2,Tiramisu de la Casa,Postre
T-10225,2025-12-20,Cena,P-02,1,Ensalada Cesar,Entrante
T-10086,2025-05-19,Cena,P-06,2,Vino Tinto Copa,Bebida
T-12299,2025-07-06,Comida,P-16,2,Agua Mineral,Bebida
T-17580,2025-10-24,Cena,P-01,1,Hamburguesa Smart,Principal
T-17622,2024-03-03,Cena,P-14,4,Tortilla de Patatas,Entrante
T-10705,2025-08-19,Cena,P-10,4,Solomillo Iberico,Principal
T-14451,2024-11-15,Cena,P-17,4,Brownie con Helado,Postre
T-17958,2024-11-01,Cena,P-18,2,Ensaladilla Rusa,Entrante
T-11362,2025-03-16,Comida,P-10,3,Solomillo Iberico,Principal
T-14545,2025-10-25,Cena,P-03,2,Pasta Carbonara IA,Principal
T-11312,2024-07-03,Cena,P-19,4,Entrecot Ternera,Principal
T-11587,2024-02-23,Cena,P-05,4,Refresco Cola,Bebida
T-16595,2024-09-21,Comida,P-10,4,Solomillo Iberico,Principal
T-13432,2025-10-05,Comida,P-08,2,Croquetas de Jamon,Entrante
T-12166,2025-07-30,Comida,P-06,3,Vino Tinto Copa,Bebida
T-16628,2024-07-08,Cena,P-08,2,Croquetas de Jamon,Entrante
T-16191,2025-09-07,Comida,P-14,4,Tortilla de Patatas,Entrante
T-10377,2025-02-05,Cena,P-17,2,Brownie con Helado,Postre
T-17184,2025-05-14,Cena,P-20,1,Paella de Marisco,Principal
T-11857,2025-08-14,Cena,P-19,3,Entrecot Ternera,Principal
T-15539,2024-11-20,Comida,P-06,2,Vino Tinto Copa,Bebida
T-11583,2025-04-30,Comida,P-14,4,Tortilla de Patatas,Entrante
T-13283,2024-03-05,Cena,P-05,1,Refresco Cola,Bebida
T-15684,2024-04-16,Comida,P-02,1,Ensalada Cesar,Entrante
T-13252,2025-08-10,Cena,P-15,3,Cerveza Artesana,Bebida
T-17209,2025-05-20,Cena,P-23,4,Tiramisu de la Casa,Postre
T-13703,2024-03-07,Cena,P-19,3,Entrecot Ternera,Principal
T-17957,2024-10-23,Comida,P-01,2,Hamburguesa Smart,Principal
T-16641,2025-12-25,Cena,P-19,1,Entrecot Ternera,Principal
T-12429,2024-02-16,Cena,P-09,3,Gazpacho Andaluz,Entrante
T-10388,2024-10-25,Cena,P-13,1,Bacalao al Horno,Principal
T-16827,2024-12-25,Cena,P-03,2,Pasta Carbonara IA,Principal
T-13109,2025-05-28,Cena,P-25,1,Canelones de Carne,Principal
T-16930,2025-12-10,Cena,P-10,3,Solomillo Iberico,Principal
T-12757,2025-10-10,Cena,P-21,2,Cafe Solo,Bebida
T-16941,2024-01-27,Comida,P-02,3,Ensalada Cesar,Entrante
T-16141,2024-11-28,Comida,P-25,1,Canelones de Carne,Principal
T-14147,2025-09-19,Comida,P-06,4,Vino Tinto Copa,Bebida
T-15052,2024-05-08,Comida,P-17,4,Brownie con Helado,Postre
T-12022,2025-07-21,Comida,P-24,2,Nuggets de Pollo,Principal
T-15160,2024-07-30,Comida,P-17,1,Brownie con Helado,Postre
T-13803,2025-06-11,Comida,P-01,2,Hamburguesa Smart,Principal
T-14888,2024-08-28,Comida,P-01,2,Hamburguesa Smart,Principal
T-15419,2024-06-13,Cena,P-02,1,Ensalada Cesar,Entrante
T-16072,2024-08-28,Cena,P-19,2,Entrecot Ternera,Principal
T-17735,2025-09-09,Cena,P-14,3,Tortilla de Patatas,Entrante
T-13440,2024-10-20,Cena,P-25,3,Canelones de Carne,Principal
T-10327,2025-11-26,Comida,P-08,4,Croquetas de Jamon,Entrante
T-14611,2025-01-02,Cena,P-07,4,Pizza Margarita,Principal
T-13309,2025-04-05,Cena,P-04,3,Tarta de Queso Casera,Postre
T-11374,2024-10-30,Cena,P-23,4,Tiramisu de la Casa,Postre
T-15753,2025-03-30,Cena,P-02,4,Ensalada Cesar,Entrante
T-17250,2024-06-23,Cena,P-19,2,Entrecot Ternera,Principal
T-11298,2025-10-17,Cena,P-12,2,Risotto de Setas,Principal
T-13727,2024-07-07,Comida,P-12,2,Risotto de Setas,Principal
T-17208,2024-01-18,Comida,P-25,4,Canelones de Carne,Principal
T-12489,2025-12-07,Cena,P-20,3,Paella de Marisco,Principal
T-10834,2025-09-30,Cena,P-25,3,Canelones de Carne,Principal
T-11355,2025-01-17,Comida,P-06,2,Vino Tinto Copa,Bebida
T-16064,2024-06-09,Comida,P-18,2,Ensaladilla Rusa,Entrante
